male,height33,gwage33
1,67.716537,5.2800002
1,70.472443,12.727273
1,68.110237,6
1,71.259842,8
1,67.716537,7
1,66.929131,7.1351352
1,66.141731,6.6666665
1,77.952759,10.810811
1,70.078743,9.6000004
1,66.929131,8.5135136
1,74.015747,2.5
1,68.897636,7.4666667
1,66.141731,8.5714283
1,74.015747,100
1,64.566933,8
1,74.409447,3.6666667
1,73.228348,10.909091
1,72.440948,13.68973
1,72.047241,4.1666665
1,70.866142,5.5641026
1,65.354332,6.5454545
1,54.724411,10.851064
1,73.228348,9.1859999
1,65.354332,8.3999996
1,69.685036,5.0133333
1,66.929131,8.333333
1,68.503937,17.777779
1,68.110237,11.351352
1,66.929131,4.8461537
1,72.047241,6.3636365
1,67.322838,9
1,74.015747,5.1999998
1,69.685036,3.9111111
1,74.015747,10
1,71.653542,4.6153846
1,70.472443,10.971429
1,65.748032,11.638889
1,68.897636,11.282051
1,68.897636,18.162163
1,69.685036,4.5473685
1,75.196854,9.6000004
1,69.685036,7.0270271
1,68.110237,11.555555
1,70.078743,11.891891
1,68.503937,10.432432
1,68.110237,7.9967999
1,65.748032,6.1909089
1,68.503937,23
1,69.685036,4.1500001
1,71.259842,5
1,74.015747,7.9487181
1,70.472443,5.5
1,70.078743,9.375
1,70.472443,7.2249999
1,68.110237,7.3257141
1,73.228348,8.8888893
1,68.110237,4.5
1,67.322838,3.2051282
1,66.141731,3.1538463
1,71.259842,13.777778
1,69.291336,8.4210529
1,73.622047,5.7894735
1,68.503937,7.5609756
1,69.685036,7.1999998
1,69.291336,7.3684211
1,65.354332,6.7317071
1,67.322838,12
1,72.834648,8.6309528
1,72.047241,6.9767442
1,68.503937,1.945946
1,72.047241,3.2
1,70.866142,4.090909
1,75.196854,7.7777777
1,70.078743,11.5
1,72.440948,14.285714
1,69.685036,3.0681818
1,68.110237,4.6666665
1,69.685036,4.5833335
1,67.322838,8.3999996
1,67.322838,3.7435896
1,74.803146,9.333333
1,64.960632,3.8461537
1,71.259842,8.4444447
1,66.929131,4.5833335
1,68.897636,3.175
1,74.803146,11.428572
1,69.685036,5.25
1,71.653542,13.243243
1,68.897636,5.2173915
1,68.897636,12.666667
1,68.897636,7.5675673
1,68.503937,5.6410255
1,72.047241,6.6666665
1,66.929131,5.7692308
1,66.141731,6.4444447
1,69.291336,6.9230771
1,71.653542,7.5675673
1,70.078743,7.5
1,72.047241,6.3636365
1,72.834648,4.8611112
1,69.685036,6.1842103
1,68.897636,5.1282053
1,69.685036,8.8888893
1,71.653542,10.714286
1,71.653542,3.5897436
1,70.472443,9.4736843
1,68.897636,8
1,68.110237,5
1,71.259842,5.3017144
1,68.503937,2.4166667
1,70.472443,9.3377781
1,69.291336,9.6000004
1,71.259842,8.3125
1,72.047241,13.333333
1,75.984253,6.4864864
1,68.110237,4.390244
1,70.866142,5.5135136
1,72.047241,11.764706
1,71.259842,5.6923075
1,66.929131,5
1,70.078743,6.3157897
1,69.685036,4.875
1,72.047241,14.102564
1,68.897636,7.8857141
